Date,debian/11,debian/12,debian/6.2,fedora/37,fedora/41,garuda/,linuxmint/22,neon/24.04,raspbian/11,ubuntu/20.04,ubuntu/20.10,ubuntu/21.10,ubuntu/22.04,ubuntu/24.04,ubuntu/24.10,zorin/17
2024-11-10,1,None,None,None,None,None,1,None,None,1,1,None,3,10,6,None
2024-11-11,1,1,None,1,None,None,1,None,None,1,1,None,4,14,6,None
2024-11-12,1,1,None,None,None,None,1,None,None,1,1,None,3,13,6,None
2024-11-13,None,1,None,None,None,None,1,None,None,1,1,None,2,15,5,None
2024-11-14,None,1,None,1,None,None,1,1,None,1,1,None,4,9,6,None
2024-11-15,None,1,None,1,None,None,1,1,None,1,1,None,5,12,5,None
2024-11-16,None,1,None,1,None,None,1,1,None,1,1,None,5,11,5,1
2024-11-17,None,1,None,1,None,None,1,1,None,1,1,None,6,12,5,None
2024-11-18,None,1,None,None,None,None,3,1,None,1,1,None,3,15,5,None
2024-11-19,None,1,None,None,None,None,2,1,None,1,1,None,3,14,5,None
2024-11-20,None,1,None,None,None,None,2,1,None,1,1,None,5,17,5,None
2024-11-21,None,1,None,None,None,None,2,None,None,1,1,None,5,15,7,None
2024-11-22,None,1,None,None,None,None,1,None,None,1,1,None,5,9,7,None
2024-11-23,None,1,None,None,None,None,2,None,None,1,1,None,4,8,7,None
2024-11-24,None,1,None,None,None,None,2,None,None,1,1,None,5,8,7,None
2024-11-25,None,None,None,None,None,None,2,None,None,1,1,None,3,17,7,None
2024-11-26,None,1,None,1,None,None,2,None,None,1,1,None,4,13,4,None
2024-11-27,None,1,None,None,None,None,2,None,None,1,1,None,6,14,5,None
2024-11-28,None,1,None,None,None,None,1,None,None,1,1,None,5,10,6,None
2024-11-29,None,1,None,None,None,None,1,None,None,1,1,None,6,10,6,None
2024-11-30,None,1,None,None,None,None,2,None,None,1,1,None,4,12,6,None
2024-12-01,None,None,None,None,None,None,1,None,None,1,1,None,4,12,5,None
2024-12-02,None,1,None,2,None,None,1,None,None,1,1,None,5,17,6,None
2024-12-03,None,1,None,2,None,None,1,None,None,1,1,None,5,13,6,None
2024-12-04,None,1,None,1,None,None,2,None,None,1,1,None,3,18,7,None
2024-12-05,None,1,None,None,None,1,1,None,None,1,1,None,3,14,5,None
2024-12-06,None,1,None,None,None,None,1,None,None,1,1,None,5,13,5,None
2024-12-07,None,None,None,1,None,None,1,None,None,1,1,None,4,14,6,None
2024-12-08,None,None,None,1,None,None,1,None,None,1,1,None,4,12,5,None
2024-12-09,None,1,None,None,None,None,2,None,None,1,1,None,5,10,6,None
2024-12-10,None,1,None,None,None,None,1,None,None,1,1,None,5,14,5,None
2024-12-11,None,1,None,1,None,None,2,None,None,1,1,None,4,14,5,None
2024-12-12,None,None,None,1,None,None,1,None,None,1,1,None,4,15,3,None
2024-12-13,None,1,None,1,None,None,1,None,None,1,1,None,6,7,2,None
2024-12-14,None,None,None,None,None,None,1,None,None,1,1,None,5,11,3,None
2024-12-15,None,None,None,None,None,None,1,None,None,1,1,None,4,13,4,None
2024-12-16,None,1,None,None,None,None,1,None,None,1,1,None,4,13,4,None
2024-12-17,None,None,None,2,None,None,1,None,None,1,1,None,5,13,4,None
2024-12-18,None,1,None,2,1,None,1,None,None,1,1,None,5,12,4,None
2024-12-19,None,1,None,None,None,None,2,None,None,None,1,None,5,16,3,None
2024-12-20,None,None,None,None,None,None,2,None,None,1,1,None,5,11,3,None
2024-12-21,None,None,1,None,None,1,2,None,None,1,1,None,4,13,3,None
2024-12-22,None,None,1,1,1,None,2,1,None,1,1,None,4,15,3,None
2024-12-23,None,1,1,2,None,None,2,None,None,1,1,None,5,11,3,None
2024-12-24,None,1,1,1,None,None,1,None,None,1,1,None,5,13,5,None
2024-12-25,None,None,1,None,None,None,1,None,None,1,1,None,3,9,4,None
2024-12-26,None,1,1,None,None,None,1,None,None,1,1,None,4,9,4,None
2024-12-27,None,None,1,None,None,None,1,None,None,1,1,None,7,12,3,None
2024-12-28,None,1,1,None,None,None,1,None,None,2,1,None,4,10,3,None
2024-12-29,None,None,1,None,None,None,None,None,None,1,1,None,5,12,4,None
2024-12-30,None,1,1,None,None,None,None,None,None,1,1,None,5,9,3,None
2024-12-31,None,1,1,None,None,None,None,None,None,1,1,None,5,11,4,None
2025-01-01,None,1,1,None,None,None,None,None,None,1,1,None,5,10,3,None
2025-01-02,None,1,1,None,None,None,2,None,None,1,1,1,5,11,4,None
2025-01-03,None,1,1,1,None,None,None,None,1,1,1,None,4,15,5,None
2025-01-04,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025-01-05,None,None,1,None,None,None,None,None,None,1,1,None,4,13,5,None
