Date,stable
2024-11-10,41
2024-11-11,44
2024-11-12,43
2024-11-13,42
2024-11-14,44
2024-11-15,44
2024-11-16,45
2024-11-17,46
2024-11-18,49
2024-11-19,49
2024-11-20,50
2024-11-21,51
2024-11-22,49
2024-11-23,47
2024-11-24,45
2024-11-25,46
2024-11-26,47
2024-11-27,47
2024-11-28,44
2024-11-29,44
2024-11-30,43
2024-12-01,43
2024-12-02,46
2024-12-03,46
2024-12-04,47
2024-12-05,49
2024-12-06,49
2024-12-07,46
2024-12-08,44
2024-12-09,43
2024-12-10,44
2024-12-11,42
2024-12-12,42
2024-12-13,42
2024-12-14,42
2024-12-15,42
2024-12-16,44
2024-12-17,45
2024-12-18,44
2024-12-19,45
2024-12-20,45
2024-12-21,47
2024-12-22,48
2024-12-23,48
2024-12-24,50
2024-12-25,50
2024-12-26,47
2024-12-27,48
2024-12-28,49
2024-12-29,46
2024-12-30,44
2024-12-31,40
2025-01-01,39
2025-01-02,43
2025-01-03,48
2025-01-04,None
2025-01-05,46
