Date,debian/11,debian/12,debian/6.2,fedora/37,fedora/41,garuda/,linuxmint/22,neon/24.04,raspbian/11,ubuntu/20.04,ubuntu/20.10,ubuntu/21.10,ubuntu/22.04,ubuntu/24.04,ubuntu/24.10,zorin/17
2024-11-10,1,1,None,None,None,None,1,None,1,2,1,None,6,21,7,None
2024-11-11,1,1,None,1,None,None,1,None,1,2,1,None,5,23,8,None
2024-11-12,1,1,None,1,None,None,1,None,1,2,1,None,4,23,8,None
2024-11-13,1,1,None,1,None,None,1,None,1,2,1,None,4,23,7,None
2024-11-14,1,1,None,1,None,None,1,1,1,2,1,None,5,23,7,None
2024-11-15,1,1,None,1,None,None,1,1,None,2,1,None,6,23,7,None
2024-11-16,1,1,None,1,None,None,1,1,None,1,1,None,7,23,7,1
2024-11-17,1,1,None,1,None,None,1,1,None,1,1,None,8,23,7,1
2024-11-18,1,1,None,1,None,None,3,1,None,1,1,None,8,24,7,1
2024-11-19,None,1,None,1,None,None,3,1,None,1,1,None,8,24,8,1
2024-11-20,None,1,None,1,None,None,3,1,None,1,1,None,8,25,8,1
2024-11-21,None,1,None,1,None,None,3,1,None,1,1,None,8,26,8,1
2024-11-22,None,1,None,1,None,None,3,1,None,1,1,None,6,26,8,1
2024-11-23,None,1,None,1,None,None,3,1,None,1,1,None,6,25,8,None
2024-11-24,None,1,None,None,None,None,3,1,None,1,1,None,6,24,8,None
2024-11-25,None,1,None,None,None,None,2,1,None,1,1,None,6,26,8,None
2024-11-26,None,1,None,1,None,None,2,1,None,1,1,None,6,26,8,None
2024-11-27,None,1,None,1,None,None,2,None,None,1,1,None,8,25,8,None
2024-11-28,None,1,None,1,None,None,2,None,None,1,1,None,8,23,7,None
2024-11-29,None,1,None,1,None,None,2,None,None,1,1,None,9,22,7,None
2024-11-30,None,1,None,1,None,None,2,None,None,1,1,None,9,21,7,None
2024-12-01,None,1,None,1,None,None,2,None,None,1,1,None,8,22,7,None
2024-12-02,None,1,None,2,None,None,2,None,None,1,1,None,9,23,7,None
2024-12-03,None,1,None,2,None,None,2,None,None,1,1,None,9,23,7,None
2024-12-04,None,1,None,2,None,None,2,None,None,1,1,None,7,25,8,None
2024-12-05,None,1,None,2,None,1,2,None,None,1,1,None,7,26,8,None
2024-12-06,None,1,None,2,None,1,2,None,None,1,1,None,7,26,8,None
2024-12-07,None,1,None,2,None,1,2,None,None,1,1,None,6,25,7,None
2024-12-08,None,1,None,2,None,1,2,None,None,1,1,None,6,23,7,None
2024-12-09,None,1,None,2,None,1,2,None,None,1,1,None,6,22,7,None
2024-12-10,None,1,None,2,None,1,2,None,None,1,1,None,6,23,7,None
2024-12-11,None,1,None,2,None,1,2,None,None,1,1,None,6,21,7,None
2024-12-12,None,1,None,2,None,None,2,None,None,1,1,None,6,22,7,None
2024-12-13,None,1,None,2,None,None,2,None,None,1,1,None,7,21,7,None
2024-12-14,None,1,None,2,None,None,2,None,None,1,1,None,7,21,7,None
2024-12-15,None,1,None,1,None,None,2,None,None,1,1,None,6,23,7,None
2024-12-16,None,1,None,1,None,None,2,None,None,1,1,None,6,25,7,None
2024-12-17,None,1,None,2,None,None,2,None,None,1,1,None,7,25,6,None
2024-12-18,None,1,None,2,1,None,1,None,None,1,1,None,7,25,5,None
2024-12-19,None,1,None,2,1,None,2,None,None,1,1,None,7,25,5,None
2024-12-20,None,1,None,2,1,None,2,None,None,1,1,None,6,26,5,None
2024-12-21,None,1,1,2,1,1,2,None,None,1,1,None,6,26,5,None
2024-12-22,None,1,1,2,1,1,2,1,None,1,1,None,6,26,5,None
2024-12-23,None,1,1,2,1,1,2,1,None,1,1,None,6,27,4,None
2024-12-24,None,1,1,2,1,1,2,1,None,1,1,None,6,28,5,None
2024-12-25,None,1,1,2,1,1,2,1,None,1,1,None,6,28,5,None
2024-12-26,None,1,1,2,1,1,2,1,None,1,1,None,6,25,5,None
2024-12-27,None,1,1,2,1,1,2,1,None,1,1,None,7,25,5,None
2024-12-28,None,1,1,2,1,None,2,1,None,2,1,None,7,26,5,None
2024-12-29,None,1,1,2,None,None,2,None,None,2,1,None,7,24,6,None
2024-12-30,None,2,1,1,None,None,1,None,None,2,1,None,7,23,6,None
2024-12-31,None,2,1,None,None,None,1,None,None,2,1,None,7,21,5,None
2025-01-01,None,2,1,None,None,None,1,None,None,2,1,None,7,20,5,None
2025-01-02,None,2,1,None,None,None,3,None,None,2,1,1,7,20,6,None
2025-01-03,None,2,1,1,None,None,3,None,1,2,1,1,5,24,7,None
2025-01-04,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025-01-05,None,2,1,1,None,None,2,None,1,2,1,1,5,24,6,None
